@relation CNNdriven-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 53 numeric
@attribute 54 numeric
@attribute 55 numeric
@attribute 56 numeric
@attribute 57 numeric
@attribute 58 numeric
@attribute 59 numeric
@attribute 60 numeric
@attribute 61 numeric
@attribute 62 numeric
@attribute 63 numeric
@attribute 64 numeric
@attribute 65 numeric
@attribute 66 numeric
@attribute 67 numeric
@attribute 68 numeric
@attribute 69 numeric
@attribute 70 numeric
@attribute 71 numeric
@attribute 72 numeric
@attribute 73 numeric
@attribute 74 numeric
@attribute 75 numeric
@attribute 76 numeric
@attribute 77 numeric
@attribute 78 numeric
@attribute 79 numeric
@attribute 80 numeric
@attribute 81 numeric
@attribute 82 numeric
@attribute 83 numeric
@attribute 84 {1,2,}

@data
4704,426.96,0.32426,0.74119,217.76,8.2513,224,94.993,0.96755,0.0088852,0.46411,194.99,5.0011,199,143.43,0.94874,0.025785,0.50009,19.156,3.7773,20,130.57,0.87035,0.03916,0.58895,0.14998,0.009578,0.15572,92.916,0.96291,0.0054227,0.45032,0.86724,0.024282,0.86207,135.78,0.86912,0.019141,0.55971,0.56458,0.0088363,0.56863,152.38,0.9195,0.013745,0.47379,78.465,0.67769,78.806,247.49,0.89715,0.0050301,0.4071,-7.5099,6.0346,-7.505,100.63,0.96464,0.0058307,0.45094,77.383,0.81754,77.602,123.84,0.85908,0.0070502,0.45775,-1,1,0.013303,-0.99992,0.99833,1,0.98388,1,-0.98253,-1,-0.97872,1,-1,1,0.97849,-1,1
119,40.805,0.89811,0.81269,226.65,5.3955,225,859.36,0.86585,0.014651,0.15121,190,5.2449,187,1283.3,0.82289,0.012353,0.16729,22.387,5.157,16,1456.2,0.8104,0.016518,0.14457,0.13963,0.0081895,0.1435,976.42,0.85643,0.010342,0.11642,0.84744,0.033128,0.88915,1528.9,0.80651,0.011778,0.12015,0.5739,0.0077967,0.56732,1324.8,0.8008,0.01264,0.12779,77.996,0.87957,78.739,2330.3,0.75367,0.0090491,0.11111,-1.0471,5.0156,-9.0904,977.82,0.85637,0.0090491,0.12059,76.811,1.3081,78.047,1689.1,0.79095,0.0090491,0.085344,-1,1,0.20529,-0.99992,0.99833,1,0.98388,1,-0.98253,-1,-0.97872,1,-1,1,0.98025,-1,1
661,205.24,0.19719,0.61619,226.35,4.4259,227,919.49,0.40737,0.026001,0.43391,189.24,3.4648,188,1193.1,0.5559,0.02674,0.44462,21.955,5.7425,22,658.3,0.58185,0.04702,0.51559,0.13941,0.0056276,0.13514,1109.4,0.49674,0.0069651,0.35652,0.8499,0.037367,0.84897,627.22,0.57501,0.032461,0.49837,0.57195,0.007389,0.57124,560.78,0.53068,0.028577,0.42559,77.76,0.58338,77.495,1064.5,0.54721,0.007337,0.37198,-0.78839,3.5513,0.12024,1184.5,0.50082,0.0077135,0.3708,76.688,1.2438,76.596,483.17,0.58202,0.0071166,0.41443,-1,1,0.20514,-0.99992,0.99989,1,0.98388,1,-0.98253,-1,-0.97872,1,-1,1,0.98013,-1,1
56,106.8,0.061696,0.99913,232.2,12.444,236,5037.5,0.1656,0.020826,0.095749,185.27,6.9374,187,3778.3,0.29416,0.020826,0.11215,40.268,11.949,37,1204.9,0.64325,0.019504,0.19473,0.12905,0.015376,0.12783,3269.1,0.23319,0.018182,0.053475,0.73777,0.07193,0.54545,1160.8,0.65218,0.018843,0.16124,0.59834,0.018618,0.59346,2591.1,0.31693,0.018843,0.14073,77.455,1.0292,75.254,2964.3,0.41808,0.018182,0.060686,4.2288,8.6054,-17.731,3971.3,0.2016,0.018182,0.044799,72.267,3.778,58.589,1172.5,0.71898,0.018843,0.13963,-1,1,0.23062,-0.99992,0.99997,1,0.98591,1,-0.98252,-1,-0.97872,1,-1,1,0.97765,-1,1
6431,489.41,0.33739,0.71449,218.44,11.126,228,69.569,0.97942,0.0064707,0.45561,192.65,7.6634,199,153.67,0.96094,0.018961,0.47094,19.993,4.7361,20,122.23,0.90726,0.026343,0.53932,0.1476,0.013632,0.15572,79.633,0.9744,0.0039161,0.44464,0.86134,0.030547,0.86207,127.06,0.90745,0.010217,0.50938,0.56351,0.011747,0.56863,124.19,0.94018,0.0095623,0.44277,77.954,1.1955,78.806,292.45,0.92968,0.0034696,0.38293,-5.9827,8.487,-7.505,87.137,0.97574,0.0038149,0.4399,76.865,1.3236,77.602,122.98,0.91212,0.0050557,0.4361,-1,1,-0.059952,-0.99992,0.99833,1,0.98388,1,-0.98253,-1,-0.97872,1,-1,1,0.98016,-1,1
85,39.986,0.66806,0.6414,233.09,1.9858,232,1263.4,0.83814,0.079932,0.45455,174.99,1.4516,176,1908.4,0.73887,0.067744,0.40529,27.118,1.9236,27,1874.5,0.74573,0.04932,0.45214,0.12256,0.0025595,0.1235,1129.5,0.82101,0.030045,0.3558,0.81313,0.012288,0.81379,1836.5,0.74428,0.020975,0.36897,0.56889,0.0034983,0.56993,2631.2,0.71481,0.032596,0.3611,74.877,0.25028,74.758,3774.7,0.53652,0.019558,0.29683,9.6694,1.5269,8.6609,1052.1,0.83665,0.019558,0.30643,73.84,0.46387,73.929,2128.7,0.70159,0.019558,0.29285,-1,1,0.20528,-0.99992,0.99833,1,0.98388,1,-0.98253,-1,-0.97872,1,-1,1,0.98025,-1,1
1455,361.43,0.13997,0.86194,228.53,7.3378,229,430.63,0.71426,0.011892,0.39938,184.64,6.5739,189,535.87,0.80664,0.0092805,0.36122,24.463,8.0675,22,352.7,0.76574,0.017766,0.41547,0.13383,0.010482,0.13514,351.06,0.77006,0.00389,0.36705,0.83317,0.051055,0.84897,382.42,0.767,0.0099436,0.39145,0.57206,0.011821,0.57124,288.91,0.67608,0.012154,0.37333,76.84,1.1738,77.495,745.19,0.78259,0.0024265,0.30981,2.6065,6.2686,0.12024,404.29,0.78024,0.0046715,0.36104,75.517,2.2311,76.596,289.63,0.78179,0.003785,0.37955,-1,1,0.20602,-0.99992,0.9985,1,0.98388,1,-0.98253,-1,-0.97872,1,-1,1,0.99058,-1,1
51,26.274,0.92838,0.79374,233.22,1.3902,234,2861.1,0.70975,0.0728,0.33174,175.71,1.5785,174,2554,0.70223,0.0536,0.29424,25.333,1.9967,26,2793.2,0.65164,0.0392,0.27711,0.12349,0.0023227,0.12395,2843.3,0.73946,0.0456,0.33658,0.82505,0.012955,0.82028,2910.9,0.65167,0.0256,0.218,0.56765,0.0032109,0.56732,2515.6,0.60795,0.04,0.25735,75.06,0.30657,74.726,3074.8,0.61191,0.0216,0.21212,9.3114,1.3397,9.0563,2750.4,0.74788,0.0216,0.21789,74.361,0.49385,74.014,2842.6,0.65156,0.0216,0.17095,-1,1,0.20528,-0.99992,0.99833,1,0.98388,1,-0.98253,-1,-0.97872,1,-1,1,0.98025,-1,1
7659,506.58,0.37504,0.72267,218.21,14.077,228,52.73,0.98723,0.005418,0.45394,190.3,10.517,199,144.47,0.96851,0.016219,0.45771,20.59,5.5613,20,115.05,0.92557,0.020132,0.51277,0.14582,0.017725,0.15572,67.816,0.9812,0.0032334,0.44957,0.85665,0.036321,0.86207,113.42,0.92719,0.0070436,0.48041,0.56092,0.015435,0.56863,109.79,0.95625,0.0076274,0.42264,77.37,1.8323,78.806,254.77,0.95074,0.0029492,0.37821,-4.8359,10.892,-7.505,76.665,0.98221,0.0029177,0.43965,76.285,1.9319,77.602,102.73,0.93951,0.0045844,0.43824,-1,1,-0.052989,-0.99992,0.99833,1,0.98388,1,-0.98253,-1,-0.97872,1,-1,1,0.98024,-1,1
363,83.049,0.66137,0.63288,234.32,2.1176,233,1353.9,0.76779,0.034034,0.35775,168.95,4.3041,166,663.42,0.93786,0.016651,0.25885,28.149,2.3209,28,1170.6,0.76017,0.029715,0.33061,0.11644,0.0048248,0.1235,487.08,0.93319,0.008852,0.27816,0.80431,0.015511,0.79814,1028.6,0.78134,0.0042276,0.22873,0.56395,0.0049375,0.56209,1604.9,0.71844,0.012851,0.2496,73.551,0.92278,73.653,989.15,0.91318,0.004487,0.23739,13.409,2.9234,12.301,524.5,0.93269,0.0040444,0.24496,72.624,0.98952,72.465,616.21,0.89493,0.0038613,0.21106,-1,1,0.20529,-0.99992,0.99833,1,0.98388,1,-0.98253,-1,-0.97872,1,-1,1,0.98025,-1,1
